1, 26
51, 92
47, 9
92, 31
8, 67
53, 48
12, 42
98, 17
13, 7
5, 11
38, 57
8, 36
51, 72
17, 66
91, 12
95, 91
37, 46
81, 82
54, 74
11, 59
39, 63
5, 50
3, 2
65, 13
8, 67
24, 44
25, 31
79, 75
2, 94
39, 92
6, 34
81, 41
80, 63
21, 32
35, 31
89, 71
92, 93
20, 92
92, 82
6, 98
49, 29
42, 73
59, 21
46, 58
13, 84
48, 17
17, 30
55, 96
90, 75
26, 23
4, 15
91, 93
7, 9
86, 98
90, 91
96, 40
20, 38
11, 76
57, 57
33, 67
39, 80
83, 55
8, 38
49, 95
11, 75
16, 15
89, 8
8, 95
16, 91
92, 5
82, 88
44, 99
25, 54
74, 79
9, 7
46, 46
86, 30
98, 94
65, 46
89, 76
21, 6
88, 8
11, 95
2, 24
87, 93
28, 67
79, 69
67, 4
24, 39
80, 30
45, 27
73, 31
54, 72
23, 19
18, 11
92, 36
14, 80
43, 24
74, 42
45, 61
